seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT20-01,0.3879043960355812,0.8180050759044332,0.31730776492274887,0.3879043960355812,0.3879043960355812,0.3879043960355812,0.3879043960355812,0.3879043960355812,0.3879043960355812,0.3879043960355812,0.3879043960355812,0.3864810826036506,0.3842830139402727,0.3806109947332507,0.3783942907837304,0.36685944610821386,0.34424051870903916,0.3064953495271298,0.25350598842247724,0.1681343301870043,0.07755318858442539,0.010481085160298689,0.3242249714233759,0.24752325873774203,0.24752325873774203,0.24752325873774203,0.24752325873774203,0.24752325873774203,0.24752325873774203,0.24752325873774203,0.24752325873774203,0.24689620507665241,0.2456439869445142,0.24327168846789957,0.24078427449607362,0.2328910093931713,0.21608902397176333,0.18705139247774907,0.14581986143187067,0.09089709762532981,0.037689283025181965,0.004413312818851729,0.2037701687174207,0.6079017431778243,0.6079017431778243,0.6079017431778243,0.6079017431778243,0.6079017431778243,0.6079017431778243,0.6079017431778243,0.6079017431778243,0.6049814624089364,0.6011685310920155,0.5954853613430234,0.5946494620439058,0.5778920085816405,0.5483921975442543,0.5022117079023196,0.44071696087904266,0.31100171211137734,0.15958109512438545,0.024891311956902112,0.5170624082321261,0.24771011575239055,0.24771011575239055,0.24771011575239055,0.24771011575239055,0.24771011575239055,0.24771011575239055,0.24771011575239055,0.24771011575239055,0.24720684448917968,0.24620030196275794,0.24428787116255662,0.24227478610971315,0.23583291394061398,0.22184197282335177,0.19672873678912933,0.15888273779567186,0.10402617010568696,0.04534474081529945,0.00548565676899849,0.20683124519905705,0.9969617176422929,0.9969617176422929,0.9969617176422929,0.9969617176422929,0.9969617176422929,0.9969617176422929,0.9969617176422929,0.9969617176422929,0.9949361960704881,0.9908851529268786,0.9831881709540207,0.9750860846668017,0.949159408547701,0.8928499088515293,0.7917763824184727,0.6394571602187563,0.4186753088920397,0.18249949361960704,0.022078185132671662,0.83243606281249,0.61118349719612,0.61118349719612,0.61118349719612,0.61118349719612,0.61118349719612,0.61118349719612,0.61118349719612,0.61118349719612,0.6094827920492973,0.6072536638942249,0.6041049532714375,0.6042483027018224,0.5951547959324998,0.578314030599021,0.5479000640065863,0.5067402451175902,0.4050327906655039,0.24894224725416023,0.04568667503610783,0.539069923057748,0.9851904912464982,0.9851904912464982,0.9851904912464982,0.9851904912464982,0.9851904912464982,0.9851904912464982,0.9851904912464982,0.9851904912464982,0.983186577831981,0.9795918844626905,0.9735663456461204,0.9682336198020819,0.9478406792265507,0.9023398680520756,0.8267095926458312,0.715341586572051,0.5354574872674508,0.30813360031670883,0.0573086927556127,0.846275466555323,0.8180050759044332,0.8180050759044332,0.8180050759044332,0.8180050759044332,0.8180050759044332,0.8180050759044332,0.8180050759044332,0.8180050759044332,0.8188069278085658,0.8202004568282844,0.8224987060280567,0.824528211227742,0.8299434323425825,0.8395873139805589,0.8538881187326286,0.872350581810179,0.8965114272450793,0.9262506689400091,0.9606943899805391,0.8425947811662994,0.3880507842649707,0.3880507842649707,0.3880507842649707,0.3880507842649707,0.3880507842649707,0.3880507842649707,0.3880507842649707,0.3880507842649707,0.3867241372044967,0.384717914692521,0.38140510121254667,0.37956365899140454,0.36916927868770794,0.34879278516642315,0.31432383762027105,0.2646173035488237,0.1798674984738989,0.08506564169767312,0.011685255406949098,0.3268599308853937,4922.0,4922.0,4922.0,4922.0,4922.0,4922.0,4922.0,4922.0,4912.0,4892.0,4854.0,4814.0,4686.0,4408.0,3909.0,3157.0,2067.0,901.0,109.0,4109.736842105263,14948.0,14948.0,14948.0,14948.0,14948.0,14948.0,14948.0,14948.0,14958.0,14978.0,15016.0,15056.0,15184.0,15462.0,15961.0,16713.0,17803.0,18969.0,19761.0,15760.263157894737,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,25.0,45.0,83.0,123.0,251.0,529.0,1028.0,1780.0,2870.0,4036.0,4828.0,827.2631578947369,0.2423754403623553,0.8209617473925394,0.2443381982888777,0.24640161046804226,0.9916953615556006,0.10810810810810811,0.24324324324324326,0.6486486486486487,0.19826012658449285,0.39472729471520135,0.09557109557109557,0.2442581245794149,4019.428715233873,4896,14974,41,39,8,18,48,270.0,429,0.3563510299512234,0.22244589833920483,0.895280534737695,4420,15450,517,4937,19870,72,74
MOT20-02,0.3002682556658681,0.8152794336002147,0.2448025334073934,0.3002682556658681,0.3002661111268447,0.30025138054003203,0.30024838595006226,0.30024340855573106,0.3002386406337382,0.3000902826743319,0.29998262701809636,0.2989384266284977,0.2970342799713786,0.29389352203255803,0.2885007744831244,0.27820999204803615,0.2627300281661427,0.23555783509411882,0.1952870076636891,0.13984679552522675,0.07112890213150218,0.013366239727618136,0.2513727839808735,0.23417864350607062,0.2341627281695499,0.23412294162400546,0.23409907092797597,0.23408315764363036,0.23405133230608546,0.23396382109104036,0.23366955625020142,0.23280348309975268,0.23105122680644435,0.22811294969106297,0.2229811323165784,0.21402974661465765,0.19948363485966022,0.1731069775993626,0.13576217884056252,0.08959981784026869,0.04039047934818648,0.006197728025400697,0.1918868740294998,0.38500959784697825,0.38503026590105666,0.385057913978267,0.3850894961191591,0.3851029065423093,0.38514303867199656,0.3849064241454598,0.38511468056335973,0.383861021859499,0.38186061462476717,0.37864313450717524,0.3732723751675663,0.36163571138885614,0.3460287243549764,0.32053874687043454,0.2809104545016578,0.2182719417302772,0.12526022964023023,0.02882610590912576,0.330503336017008,0.2347068022902638,0.23469387755102042,0.23466156570291194,0.23464217859404687,0.2346292538548035,0.23460340437631672,0.23453231831047808,0.23429321063447545,0.23358881234571094,0.2321606286593168,0.22975662716004705,0.2255302374274599,0.21807266288402632,0.20571661216734952,0.18252962996471547,0.14785901694433315,0.10171769784544597,0.04802186865879981,0.007619133783975909,0.195228186271342,0.9904821642849351,0.9904276208137885,0.9902912621359223,0.9902094469292025,0.9901549034580561,0.9900458165157631,0.9897458274244573,0.9887367732082469,0.9857641540307626,0.9797371004690738,0.9695920148358241,0.9517562997709175,0.9202847169193847,0.8681411585033272,0.7702901712664993,0.6239773099160031,0.4292571179229846,0.20265626704483472,0.03215337624086397,0.8238791316679395,0.38781581924529407,0.38783596616256516,0.38786637428760656,0.38789818409165,0.3879120379322667,0.3879504714984859,0.38781355447967514,0.3880400933965347,0.38725277475240855,0.3859527685127422,0.3838354395058847,0.3803841935481591,0.3724400636909907,0.3611390125625603,0.341750242355699,0.3088972924745661,0.25375785800119016,0.16172210098654013,0.0405018059359474,0.3410929501800403,0.9804982965586543,0.9805513518374198,0.9805615529210552,0.9806256854893073,0.9806309807256759,0.9807335128944115,0.9806940926635682,0.9808544855469339,0.9787933841352958,0.9746389227797788,0.9670922580392008,0.9551500741172322,0.9319546187041033,0.8937487967667466,0.8300362914522468,0.7383054263490585,0.5988112962386563,0.3713991622881778,0.10714671314395742,0.8522224685606042,0.8152794336002147,0.8153206666007073,0.815416808365729,0.8154684491252738,0.8155015770740864,0.8155617006420042,0.8157084236656611,0.8161535160908082,0.8173115031407773,0.8193961630919903,0.8224532679479678,0.8270711227626079,0.8338880260420097,0.8432611986993791,0.8580133351104486,0.8770970030080021,0.9001910894094884,0.9282359230093794,0.9617892302626424,0.8427957072446937,0.30060667251696976,0.30060646380079625,0.3005965618240457,0.3005964709092295,0.30059342577531223,0.3005925282575896,0.3004546488031611,0.3003826808783422,0.29944221513001695,0.2977465370940845,0.2949504525876789,0.290145148842184,0.2808253239587325,0.2668030301306478,0.24188389540358826,0.20380172632242582,0.14900375638573388,0.0775579157530309,0.014819917590617284,0.25375838799811506,36319.0,36317.0,36312.0,36309.0,36307.0,36303.0,36292.0,36255.0,36146.0,35925.0,35553.0,34899.0,33745.0,31833.0,28245.0,22880.0,15740.0,7431.0,1179.0,30210.0,118423.0,118425.0,118430.0,118433.0,118435.0,118439.0,118450.0,118487.0,118596.0,118817.0,119189.0,119843.0,120997.0,122909.0,126497.0,131862.0,139002.0,147311.0,153563.0,124532.0,349.0,351.0,356.0,359.0,361.0,365.0,376.0,413.0,522.0,743.0,1115.0,1769.0,2923.0,4835.0,8423.0,13788.0,20928.0,29237.0,35489.0,6458.0,0.22609892595416886,0.819238418338777,0.22764343229375347,0.23230280079099405,0.9803370786516854,0.05925925925925926,0.4148148148148148,0.5259259259259259,0.18410750425885677,0.37560211065252597,0.25916606757728256,0.2276280622074101,29449.163424024016,35947,118795,721,239,16,112,142,1584.0,2782,0.3217909200146283,0.1990215972392757,0.8398876404494382,30797,123945,5871,36668,154742,410,270
MOT20-03,0.07429328459379371,0.7900495500360237,0.05869537606402497,0.07429328459379371,0.07429295337807879,0.07429247404835083,0.07429232541930439,0.07429232541930439,0.07429232541930439,0.07429232541930439,0.07429232541930439,0.07429232541930439,0.07426917503813674,0.07345888750402906,0.07242980113204724,0.06997263854451856,0.06439526119065393,0.05392046980990334,0.03867919731090398,0.0213004662276586,0.008241043290006052,0.0014108839601858878,0.060353183607583835,0.03308904395614905,0.033085750717245774,0.03307916430242715,0.033075871126511384,0.033075871126511384,0.033075871126511384,0.033075871126511384,0.033075871126511384,0.033075871126511384,0.033056112511913906,0.0327762799798594,0.0322926919389312,0.030992215361220602,0.028264021753270446,0.023470931352578737,0.01605859096994266,0.008031179140085288,0.002403325683107435,0.0002283915371676363,0.026593838208577237,0.1668072411837913,0.16682235711702945,0.16685342016998614,0.16686936513620296,0.16686936513620296,0.16686936513620296,0.16686936513620296,0.16686936513620296,0.16686936513620296,0.166865064936398,0.16463760245657827,0.16245397261859681,0.15798064410097765,0.14671477753631143,0.12387310161857985,0.09316385898464566,0.056493555130785744,0.028258672965181225,0.008715706255126016,0.13741348241532658,0.03309336921105153,0.033090181025193045,0.03308380465347608,0.0330806164676176,0.0330806164676176,0.0330806164676176,0.0330806164676176,0.0330806164676176,0.0330806164676176,0.0330614873524667,0.03279049155449566,0.03232182823329869,0.031059306633339497,0.028400359627364837,0.023694597300244216,0.01632988796714893,0.008231895886602605,0.0024772204120411404,0.00023592575352772766,0.026650213390313482,0.9960656366951348,0.9959696766145284,0.9957777564533155,0.9956817963727089,0.9956817963727089,0.9956817963727089,0.9956817963727089,0.9956817963727089,0.9956817963727089,0.9951060358890701,0.9869494290375204,0.9728432971883696,0.9348431052682085,0.8548123980424144,0.713175319067268,0.4915075328663276,0.24776892812589962,0.07456098263122542,0.0071010459648786104,0.802135364320022,0.1668268663707439,0.16684180636115611,0.16687266674802814,0.16688858733346368,0.16688858733346368,0.16688858733346368,0.16688858733346368,0.16688858733346368,0.16688858733346368,0.16689122305892423,0.1649119901506723,0.16295323602012818,0.15913164614844547,0.14948253540132864,0.12911011575262843,0.09968373764144635,0.06272591696240679,0.032693674289994666,0.010274364419916117,0.13893322649087372,0.9980483204212818,0.9981386666485517,0.9983243958396526,0.9984197797743276,0.9984197797743276,0.9984197797743276,0.9984197797743276,0.9984197797743276,0.9984197797743276,0.9979457379816352,0.9927476541282545,0.9846416239816341,0.9609028409017496,0.9118132938451029,0.8109116005406038,0.6473793755245832,0.4307592618968977,0.23439672795059452,0.08032795737385622,0.8440450597726507,0.7900495500360237,0.7901171968567164,0.7902452603845265,0.7903066767315633,0.7903066767315633,0.7903066767315633,0.7903066767315633,0.7903066767315633,0.7903066767315633,0.7904821112305643,0.7926231199727659,0.7957369410130929,0.8025272675853166,0.814163922327647,0.8313955966585572,0.856202964303341,0.8868470763931126,0.9223400878588159,0.9609592072169167,0.8192384401171987,0.07429814008151298,0.07429792726618896,0.07429768474635119,0.07429765452735079,0.07429765452735079,0.07429765452735079,0.07429765452735079,0.07429765452735079,0.07429765452735079,0.07427521278302242,0.0734748114179604,0.07246246889801157,0.07004833522122236,0.06455038686700547,0.054176777859009664,0.03900455588526198,0.021564996269433312,0.008366777246140959,0.0014339663753962068,0.06042305095161169,10380.0,10379.0,10377.0,10376.0,10376.0,10376.0,10376.0,10376.0,10376.0,10370.0,10285.0,10138.0,9742.0,8908.0,7432.0,5122.0,2582.0,777.0,74.0,8359.052631578947,303278.0,303279.0,303281.0,303282.0,303282.0,303282.0,303282.0,303282.0,303282.0,303288.0,303373.0,303520.0,303916.0,304750.0,306226.0,308536.0,311076.0,312881.0,313584.0,305298.94736842107,41.0,42.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,51.0,136.0,283.0,679.0,1513.0,2989.0,5299.0,7839.0,9644.0,10347.0,2061.9473684210525,0.032662964120156346,0.7904821112305643,0.03289888987368408,0.0330614873524667,0.9951060358890701,0.0,0.04131054131054131,0.9586894586894587,0.02573599109049013,0.06399674153524296,0.021205821205821207,0.032892930415549006,8197.299493460952,10370,303288,51,74,0,29,673,1315.0,2405,0.06083084679970007,0.03142594800706502,0.9458785145379522,9857,303801,564,10421,313658,293,702
MOT20-05,0.04245582724656929,0.8127797114177736,0.03450723501746943,0.04245582724656929,0.04245582724656929,0.04245582724656929,0.04245582724656929,0.04245582724656929,0.04245550310824168,0.042433403740643486,0.04242906656687385,0.04242380716646206,0.04241953678786112,0.04236493200084625,0.04218227024673459,0.041544247168773564,0.040281490423125614,0.037920115353513174,0.030711801627514943,0.019009423901765382,0.007036180547471247,0.0011702216129741048,0.03614005981503408,0.016865631923557733,0.016865631923557733,0.016865631923557733,0.016865631923557733,0.016865631923557733,0.016862485418026877,0.0168546192393916,0.01685304601826868,0.01684989959062681,0.01684046042453122,0.016807424723189576,0.016661149558992318,0.01618172513331447,0.015310488866643804,0.013747586113287637,0.01043107954370753,0.005775313671149905,0.0018184534152780572,0.00019174609165158822,0.013974401969781511,0.1068739834570222,0.1068739834570222,0.1068739834570222,0.1068739834570222,0.1068739834570222,0.10689229372124377,0.10683087689149436,0.1068190099157606,0.10681247118518922,0.10685082568618619,0.10678539353860787,0.1067959876879088,0.10665886724690847,0.10597953369362584,0.10459546400177984,0.09042350365133747,0.06256944949711452,0.027225243319770498,0.007141833305056429,0.09403950898037342,0.016865631923557733,0.016865631923557733,0.016865631923557733,0.016865631923557733,0.016865631923557733,0.016862537596078867,0.016854801777381703,0.01685325461364227,0.016850160286163405,0.016840877303726808,0.016808386865198716,0.01666450063743146,0.016192615696904434,0.01533393982151919,0.013789870409565185,0.010497505972052035,0.005838995952619657,0.0018457663411434158,0.00019494263116854183,0.013987174501178123,1.0,1.0,1.0,1.0,1.0,0.9998165305935235,0.9993578570773324,0.9992661223740941,0.9990826529676177,0.9985322447481882,0.9966058159801853,0.9880744885790295,0.9600954040913677,0.9091826437941474,0.8176314099623888,0.6224199614714246,0.346206770021099,0.10943950096321438,0.011558572608017613,0.8293299986964016,0.10688081535899722,0.10688081535899722,0.10688081535899722,0.10688081535899722,0.10688081535899722,0.1068991268768938,0.10684350320527594,0.10683271467547203,0.10682725562479453,0.10686579271766539,0.106818655732688,0.10685593065287102,0.10685959283181222,0.10659335701444966,0.10590804007220983,0.09413212014780159,0.06892017550341334,0.03168218632871658,0.00799305100782193,0.09497029364141431,0.9982311947498628,0.9982311947498628,0.9982311947498628,0.9982311947498628,0.9982311947498628,0.9982308701686626,0.9977834278107587,0.997696851405063,0.9975585590172656,0.9972129548470177,0.9959245781719749,0.9906582781353691,0.9755560233720169,0.9474700778503496,0.896796219150291,0.7718949974774723,0.547969234774358,0.3151859899723254,0.13153227523937042,0.8711908584811371,0.8127797114177736,0.8127797114177736,0.8127797114177736,0.8127797114177736,0.8127797114177736,0.8128812493439342,0.8130968688910513,0.8131351234552416,0.8132071804592775,0.8133919108586908,0.8139345164683673,0.8159342211819098,0.8213228267402891,0.8295337117642858,0.8407350041246606,0.8606804149713181,0.8885574962931861,0.9228244479610396,0.9604848605130567,0.8359799152692199,0.04245582724656929,0.04245582724656929,0.04245582724656929,0.04245582724656929,0.04245582724656929,0.04245556879380581,0.042433633520003976,0.04242932914491451,0.04242413534807337,0.04242006182436516,0.0423661445749954,0.042186512120585155,0.04155822479361139,0.0403123280395802,0.03797838719604723,0.030809434749663682,0.01911394157078261,0.007088824849653997,0.0011799354964805592,0.03615976832923208,10901.0,10901.0,10901.0,10901.0,10901.0,10899.0,10894.0,10893.0,10891.0,10885.0,10864.0,10771.0,10466.0,9911.0,8913.0,6785.0,3774.0,1193.0,126.0,9040.526315789473,635443.0,635443.0,635443.0,635443.0,635443.0,635445.0,635450.0,635451.0,635453.0,635459.0,635480.0,635573.0,635878.0,636433.0,637431.0,639559.0,642570.0,645151.0,646218.0,637303.4736842106,0.0,0.0,0.0,0.0,0.0,2.0,7.0,8.0,10.0,16.0,37.0,130.0,435.0,990.0,1988.0,4116.0,7127.0,9708.0,10775.0,1860.4736842105262,0.016563934994368323,0.8132259242946841,0.016856348941121136,0.016860990432339434,0.9997247958902853,0.0,0.015397775876817793,0.9846022241231822,0.01341473909089195,0.033162671454328295,0.0009049773755656109,0.016852826881963517,8862.536122963467,10898,635446,3,189,0,18,1151,1472.0,3315,0.025433438063431443,0.012931194534179942,0.7667186496651683,8358,637986,2543,10901,646344,414,1169
COMBINED,0.13231725248716128,0.8108694650853603,0.10729201974582903,0.13231725248716128,0.13231697995265299,0.13231346736478114,0.13231320137179567,0.1323121416389504,0.13231146671801977,0.13226382421863042,0.1322385371846432,0.131871263980001,0.13122481243789758,0.13002590872244904,0.12820410435532759,0.12419450657020101,0.1175609388112757,0.10583159981448059,0.08765321406719523,0.061655254206643174,0.030837792812935423,0.005654656710548498,0.11121583807503103,0.055084540435005935,0.05508175171934993,0.05507524477348156,0.05507152655473453,0.055069667455188605,0.05506409019586077,0.055049217792586626,0.055013897515185956,0.05490144606841341,0.05466639776162978,0.054187335220095334,0.05332130081386625,0.05148730970706874,0.04819336164014981,0.04220820474795525,0.03272171280194757,0.020592681983129052,0.008677275594888645,0.0012440920260222582,0.04540584498981894,0.31783609643450955,0.3178508786901993,0.3178715540547259,0.3178917373908946,0.31789737679696534,0.31792633207602916,0.31778324739961367,0.31786569406225346,0.3167499493913724,0.31500066045046854,0.31200532136204395,0.3082500262123661,0.29957431355358016,0.2867734033036328,0.26535901221515373,0.2348008486845548,0.18459811958442987,0.10959309234498682,0.02570158946873524,0.273754171235606,0.05510420283902719,0.05510155876800392,0.055095389268949614,0.05509186384091858,0.05509010112690307,0.05508481298485653,0.0550707112727324,0.05503721970643761,0.054930575508498926,0.054707592185536225,0.05425281196953325,0.05342962452428755,0.05168189357790403,0.048527516847139206,0.042744933519240906,0.03344221030235833,0.02129622937844941,0.00907973989391987,0.0013114592275434642,0.04558318140748632,0.9935639709504664,0.9935162966612107,0.9934050566529471,0.9933414909339393,0.9933097080744354,0.9932143594959238,0.9929600966198929,0.9923562222893194,0.9904333592893353,0.9864128275620958,0.9782128498100974,0.9633702544217904,0.9318575492237037,0.874982122141529,0.770718451539085,0.6029844105074134,0.3839846170960001,0.16371350930443213,0.023646447470878955,0.8218938736865526,0.31972903223706683,0.31974348330549196,0.3197657151811427,0.3197860128268937,0.3197918805363734,0.3198198512961939,0.319735673107771,0.31982838776579126,0.31907757551429383,0.31785562362165937,0.3157356637616457,0.3132005614410265,0.30739846038213614,0.2984631968853926,0.28243843557548826,0.2587132496588822,0.2174156571283014,0.1445596709784957,0.0366256076421217,0.2826149336234825,0.986873181449253,0.986919024899765,0.9869559319359635,0.9870091428497665,0.9870124228718693,0.9870719712868442,0.9869712871514358,0.9870528522037141,0.9856861938942729,0.9828816071019845,0.9769779766684549,0.9674299129040015,0.9458154956206954,0.9070292108426513,0.8391064262402436,0.7301271943652748,0.5674931397274546,0.3490233636675791,0.10422712219953872,0.8553507083095139,0.8108694650853603,0.8109048393749184,0.8109822566891693,0.8110225669485992,0.8110416672697394,0.8110939554619927,0.8112158386585623,0.8114782321852244,0.8122163289542064,0.8135761412076544,0.8159692496303613,0.819650333649231,0.8261200175348313,0.8357885117256475,0.8504265752376331,0.8709460893511471,0.8966333654628327,0.9269909543080438,0.9615573015767681,0.8378149310690487,0.13234086567455958,0.13234076798783398,0.13233766284837845,0.1323376299942394,0.13233668665839426,0.13233636138782667,0.13228964231887322,0.13226656433597844,0.13190624326526776,0.13127424602753884,0.1301044427886641,0.12833426339106996,0.12442896685157272,0.11796779713179562,0.10650236305297728,0.08861297512712853,0.06269963235538509,0.031544837496218316,0.005805737392554605,0.11146145716243457,62522.0,62519.0,62512.0,62508.0,62506.0,62500.0,62484.0,62446.0,62325.0,62072.0,61556.0,60622.0,58639.0,55060.0,48499.0,37944.0,24163.0,10302.0,1488.0,51719.31578947369,1072092.0,1072095.0,1072102.0,1072106.0,1072108.0,1072114.0,1072130.0,1072168.0,1072289.0,1072542.0,1073058.0,1073992.0,1075975.0,1079554.0,1086115.0,1096670.0,1110451.0,1124312.0,1133126.0,1082894.6842105263,405.0,408.0,415.0,419.0,421.0,427.0,443.0,481.0,602.0,855.0,1371.0,2305.0,4288.0,7867.0,14428.0,24983.0,38764.0,52625.0,61439.0,11207.684210526315,0.05354596364931157,0.8135181812510233,0.05402277779050849,0.054741965108838775,0.9870325933224212,0.010835214446952596,0.0799097065462754,0.909255079006772,0.04333758243392229,0.10373089522613423,0.0913671481357071,0.054020368867945305,50528.42775568231,62111,1072503,816,541,24,177,2014,4641.0,8931,0.08923619316582898,0.04709266763850966,0.8491108745053793,53432,1081182,9495,62927,1134614,1189,2215
