# x	y	u	v	flags	mask
5.0663e+00	2.9838e+00	-1.5429e-03	-3.3403e+00	0.0000e+00	0.0000e+00
2.1757e-01	2.7145e+00	-1.0707e-01	-2.8667e+00	1.0000e+00	0.0000e+00
4.8695e-01	2.7145e+00	-3.9874e-03	-2.6656e+00	0.0000e+00	0.0000e+00
7.5632e-01	2.7145e+00	3.7508e-02	-2.7248e+00	0.0000e+00	0.0000e+00
1.0257e+00	2.7145e+00	2.1568e-01	-2.6261e+00	0.0000e+00	0.0000e+00
1.2951e+00	2.7145e+00	3.4311e-01	-2.6609e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.7145e+00	3.2186e-01	-2.5615e+00	0.0000e+00	0.0000e+00
1.8338e+00	2.7145e+00	8.0092e-02	-2.9644e+00	0.0000e+00	0.0000e+00
2.1032e+00	2.7145e+00	-1.2055e-02	-3.2282e+00	0.0000e+00	0.0000e+00
2.3726e+00	2.7145e+00	1.0317e-02	-2.9199e+00	0.0000e+00	0.0000e+00
2.6419e+00	2.7145e+00	-2.0147e-01	-2.7391e+00	0.0000e+00	0.0000e+00
2.9113e+00	2.7145e+00	-2.1344e-01	-2.5613e+00	0.0000e+00	0.0000e+00
3.1807e+00	2.7145e+00	-2.5367e-01	-2.6030e+00	0.0000e+00	0.0000e+00
3.4501e+00	2.7145e+00	-3.8595e-01	-2.9129e+00	0.0000e+00	0.0000e+00
3.7194e+00	2.7145e+00	-5.2497e-01	-3.0078e+00	0.0000e+00	0.0000e+00
3.9888e+00	2.7145e+00	-2.8200e-01	-3.0098e+00	0.0000e+00	0.0000e+00
4.2582e+00	2.7145e+00	1.2908e-01	-2.6326e+00	0.0000e+00	0.0000e+00
4.5276e+00	2.7145e+00	-7.8049e-02	-2.7979e+00	0.0000e+00	0.0000e+00
4.7969e+00	2.7145e+00	-1.5709e-01	-3.0411e+00	0.0000e+00	0.0000e+00
5.0663e+00	2.7145e+00	-5.8177e-02	-2.6632e+00	0.0000e+00	0.0000e+00
2.1757e-01	2.4451e+00	-1.3085e-01	-2.6405e+00	0.0000e+00	0.0000e+00
4.8695e-01	2.4451e+00	-6.5584e-02	-2.9969e+00	0.0000e+00	0.0000e+00
7.5632e-01	2.4451e+00	-4.3101e-03	-3.0585e+00	0.0000e+00	0.0000e+00
1.0257e+00	2.4451e+00	4.4526e-01	-2.7742e+00	0.0000e+00	0.0000e+00
1.2951e+00	2.4451e+00	2.7706e-01	-2.8663e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.4451e+00	1.1645e-02	-3.0144e+00	0.0000e+00	0.0000e+00
1.8338e+00	2.4451e+00	-2.2751e-01	-3.2939e+00	0.0000e+00	0.0000e+00
2.1032e+00	2.4451e+00	8.7053e-03	-3.2485e+00	0.0000e+00	0.0000e+00
2.3726e+00	2.4451e+00	-9.8058e-02	-3.1372e+00	0.0000e+00	0.0000e+00
2.6419e+00	2.4451e+00	-1.2552e-01	-2.7929e+00	1.0000e+00	0.0000e+00
2.9113e+00	2.4451e+00	-6.0694e-02	-2.5311e+00	0.0000e+00	0.0000e+00
3.1807e+00	2.4451e+00	-1.1595e-01	-2.3781e+00	0.0000e+00	0.0000e+00
3.4501e+00	2.4451e+00	-8.7977e-02	-2.8025e+00	0.0000e+00	0.0000e+00
3.7194e+00	2.4451e+00	-2.2778e-01	-2.6799e+00	1.0000e+00	0.0000e+00
3.9888e+00	2.4451e+00	-4.1470e-01	-2.6327e+00	0.0000e+00	0.0000e+00
4.2582e+00	2.4451e+00	-4.6707e-01	-2.9080e+00	0.0000e+00	0.0000e+00
4.5276e+00	2.4451e+00	-1.8887e-01	-2.7025e+00	0.0000e+00	0.0000e+00
4.7969e+00	2.4451e+00	-1.9577e-01	-2.7450e+00	0.0000e+00	0.0000e+00
5.0663e+00	2.4451e+00	-1.4123e-01	-2.6621e+00	0.0000e+00	0.0000e+00
2.1757e-01	2.1757e+00	-5.1878e-01	-2.5361e+00	0.0000e+00	0.0000e+00
4.8695e-01	2.1757e+00	-4.6128e-02	-3.0527e+00	0.0000e+00	0.0000e+00
7.5632e-01	2.1757e+00	-1.5128e-03	-2.9418e+00	0.0000e+00	0.0000e+00
1.0257e+00	2.1757e+00	-5.2518e-02	-2.8043e+00	1.0000e+00	0.0000e+00
1.2951e+00	2.1757e+00	-3.4550e-02	-2.7164e+00	0.0000e+00	0.0000e+00
1.5644e+00	2.1757e+00	6.1279e-02	-3.0081e+00	0.0000e+00	0.0000e+00
1.8338e+00	2.1757e+00	-4.4341e-01	-3.1744e+00	0.0000e+00	0.0000e+00
2.1032e+00	2.1757e+00	-9.0247e-02	-3.0497e+00	0.0000e+00	0.0000e+00
2.3726e+00	2.1757e+00	5.8641e-02	-3.0709e+00	0.0000e+00	0.0000e+00
2.6419e+00	2.1757e+00	-1.1685e-01	-2.7616e+00	1.0000e+00	0.0000e+00
2.9113e+00	2.1757e+00	-1.5806e-01	-2.7232e+00	1.0000e+00	0.0000e+00
3.1807e+00	2.1757e+00	-3.7740e-01	-2.4674e+00	0.0000e+00	0.0000e+00
3.4501e+00	2.1757e+00	-4.3265e-01	-2.4723e+00	0.0000e+00	0.0000e+00
3.7194e+00	2.1757e+00	-3.7932e-01	-2.6623e+00	0.0000e+00	0.0000e+00
3.9888e+00	2.1757e+00	-2.1399e-01	-2.7823e+00	0.0000e+00	0.0000e+00
4.2582e+00	2.1757e+00	-5.3822e-02	-2.8090e+00	0.0000e+00	0.0000e+00
4.5276e+00	2.1757e+00	1.5781e-02	-2.5789e+00	0.0000e+00	0.0000e+00
4.7969e+00	2.1757e+00	-3.1833e-02	-2.5732e+00	0.0000e+00	0.0000e+00
5.0663e+00	2.1757e+00	3.8572e-02	-2.6574e+00	0.0000e+00	0.0000e+00
2.1757e-01	1.9063e+00	-5.5594e-01	-2.4443e+00	0.0000e+00	0.0000e+00
4.8695e-01	1.9063e+00	-6.9225e-03	-2.7201e+00	1.0000e+00	0.0000e+00
7.5632e-01	1.9063e+00	8.9709e-02	-2.6991e+00	0.0000e+00	0.0000e+00
1.0257e+00	1.9063e+00	5.4187e-02	-2.7482e+00	0.0000e+00	0.0000e+00
1.2951e+00	1.9063e+00	-5.8563e-02	-2.8410e+00	0.0000e+00	0.0000e+00
1.5644e+00	1.9063e+00	-1.0015e-01	-3.1158e+00	0.0000e+00	0.0000e+00
1.8338e+00	1.9063e+00	6.2255e-02	-2.9552e+00	0.0000e+00	0.0000e+00
2.1032e+00	1.9063e+00	9.5712e-02	-2.7828e+00	0.0000e+00	0.0000e+00
2.3726e+00	1.9063e+00	1.0511e-01	-3.0477e+00	0.0000e+00	0.0000e+00
2.6419e+00	1.9063e+00	1.9828e-01	-2.7214e+00	0.0000e+00	0.0000e+00
2.9113e+00	1.9063e+00	-3.2238e-01	-2.5751e+00	0.0000e+00	0.0000e+00
3.1807e+00	1.9063e+00	-4.7919e-01	-2.5375e+00	0.0000e+00	0.0000e+00
3.4501e+00	1.9063e+00	-4.5253e-01	-2.3727e+00	0.0000e+00	0.0000e+00
3.7194e+00	1.9063e+00	-4.0481e-01	-2.3978e+00	0.0000e+00	0.0000e+00
3.9888e+00	1.9063e+00	-2.9755e-01	-2.4902e+00	0.0000e+00	0.0000e+00
4.2582e+00	1.9063e+00	-9.3382e-02	-2.6290e+00	0.0000e+00	0.0000e+00
4.5276e+00	1.9063e+00	-2.0926e-02	-2.6352e+00	0.0000e+00	0.0000e+00
4.7969e+00	1.9063e+00	5.2544e-02	-2.5613e+00	0.0000e+00	0.0000e+00
