seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT20-01,0.34087022345102824,0.8294651910544032,0.28273998501956427,0.34087022345102824,0.34087022345102824,0.34087022345102824,0.3407619873254753,0.3407619873254753,0.3407619873254753,0.3407410392957414,0.3407204821049392,0.3395006417885789,0.3380591603394091,0.33517472135328025,0.33392948083821,0.3272592033642939,0.31073424360082985,0.2829139851402755,0.2390935080539962,0.16370001965986336,0.07794517981951117,0.010742673805488332,0.2887058406049436,0.1910248025355939,0.1910248025355939,0.1910248025355939,0.19096488580340074,0.19096488580340074,0.19096488580340074,0.1909049750993511,0.1908450704225352,0.19042590637099613,0.18982761220284464,0.18863282622884972,0.18738088073026382,0.18334499650104968,0.17337430610626486,0.15471661301336456,0.1254040692146796,0.08228947609033556,0.03510996458397097,0.00428456284732533,0.1601321223383587,0.6082587585133277,0.6082587585133277,0.6082587585133277,0.6080632652306152,0.6080632652306152,0.6080632652306152,0.6081793091034884,0.6082968067699909,0.6052783886993875,0.6020409494866612,0.5955596174864888,0.5950921873048208,0.584136945269838,0.556920874348006,0.5173350258193544,0.4558520784178399,0.3256515621416976,0.17304064897489543,0.0269350794009633,0.5212255549713295,0.19109209864116758,0.19109209864116758,0.19109209864116758,0.1910417715148465,0.1910417715148465,0.1910417715148465,0.19099144438852542,0.19094111726220434,0.1905888273779567,0.19008555611474584,0.1890790135883241,0.18802214393558128,0.18459989934574736,0.17604428787116255,0.15963764469048816,0.13276295923502768,0.09058882737795672,0.04041268243583292,0.005083039758429794,0.16185468704473815,0.9981598317560463,0.9981598317560463,0.9981598317560463,0.9978969505783386,0.9978969505783386,0.9978969505783386,0.9976340694006309,0.9973711882229233,0.9955310199789695,0.9929022082018928,0.9876445846477392,0.982124079915878,0.964248159831756,0.919558359621451,0.8338590956887487,0.6934805467928497,0.47318611987381703,0.21109358569926392,0.02655099894847529,0.8454397033593449,0.6096210235260935,0.6096210235260935,0.6096210235260935,0.6094996611771805,0.6094996611771805,0.6094996611771805,0.609616656828215,0.6097349429368046,0.6078752962237232,0.6059104713612302,0.6020761530234316,0.6023283614136385,0.5963273028373742,0.5800149038457411,0.5539913293165153,0.5133160603215777,0.4109664100079195,0.2615560801170748,0.048028179182588795,0.5399528527118767,0.9936421961075227,0.9936421961075227,0.9936421961075227,0.9933809039446487,0.9933809039446487,0.9933809039446487,0.993244604236104,0.9931194485950531,0.9913014315561038,0.9887455309698887,0.9837428647604036,0.9797099485608446,0.9642501349465606,0.9257056215475986,0.8606231857869957,0.7520476861985584,0.5723613740855025,0.33778560054603746,0.0665726696079414,0.8615936527133741,0.8294651910544032,0.8294651910544032,0.8294651910544032,0.8296430776957626,0.8296430776957626,0.8296430776957626,0.8297822933472527,0.8298987635517078,0.8306409270818763,0.8315681784115903,0.8331948744388193,0.8346161698759483,0.838512835275722,0.8463162105381379,0.8584434786382072,0.87504255845981,0.8973456286067406,0.9267578599837486,0.9604470295715385,0.8510469270542946,0.34093026072964383,0.34093026072964383,0.34093026072964383,0.34083057870848193,0.34083057870848193,0.34083057870848193,0.3408181988874578,0.3408062087340741,0.33964584251751906,0.3382887652391395,0.3355708941600641,0.33450038698986123,0.3283772545426136,0.31311777133401403,0.28737805246346604,0.24600868054641958,0.17175678486806914,0.08362437919358735,0.011700943529970555,0.2903619305958228,3797.0,3797.0,3797.0,3796.0,3796.0,3796.0,3795.0,3794.0,3787.0,3777.0,3757.0,3736.0,3668.0,3498.0,3172.0,2638.0,1800.0,803.0,101.0,3216.0526315789475,16073.0,16073.0,16073.0,16074.0,16074.0,16074.0,16075.0,16076.0,16083.0,16093.0,16113.0,16134.0,16202.0,16372.0,16698.0,17232.0,18070.0,19067.0,19769.0,16653.947368421053,7.0,7.0,7.0,8.0,8.0,8.0,9.0,10.0,17.0,27.0,47.0,68.0,136.0,306.0,632.0,1166.0,2004.0,3001.0,3703.0,587.9473684210526,0.18777050830397585,0.8321102759149948,0.18902868646200302,0.1902365374937091,0.9936908517350158,0.06756756756756757,0.21621621621621623,0.7162162162162162,0.15583174851327028,0.319337670017741,0.055944055944055944,0.18895833215859728,3145.3768429586803,3780,16090,24,25,5,16,53,184.0,429,0.2994001858579032,0.17835933568193257,0.9316508937960042,3544,16326,260,3804,19870,57,74
MOT20-02,0.26170454009813293,0.8267148994306744,0.21635504254777888,0.26170454009813293,0.261698714101516,0.26169784951945263,0.26169784951945263,0.26169692461791616,0.26166446405983845,0.26162426117307097,0.26160108781324753,0.2609532379833137,0.2596355895943579,0.25777189403003564,0.2541794866045417,0.24731041704815251,0.23611790455838627,0.2155612730887513,0.1830138291569009,0.13498583535174094,0.070734393959828,0.013484914322326918,0.22248076140005071,0.18523584327438597,0.18519761035341478,0.18518996406521165,0.18518996406521165,0.18518231787566772,0.18513644281014127,0.18509821630164822,0.18500648274171597,0.18454038997214484,0.18347967814877567,0.18178192344805405,0.1787714874203546,0.17362056078348698,0.16432270045189218,0.14605479862254828,0.1177580101488251,0.0807179372540253,0.03825025432349949,0.0061285181473144604,0.15456121580043777,0.36974089408022165,0.3698007594789909,0.3698135846011068,0.3698135846011068,0.36982624010817616,0.36982611695708767,0.3697888364456689,0.3699066547879591,0.3690064404017716,0.36740112073528663,0.3655278153705949,0.3613955018376847,0.3522764936625425,0.33928157643298534,0.3181454008623691,0.28443128089835074,0.225738867536517,0.1308057835785495,0.02967159595671294,0.3211683446491412,0.18554109420842435,0.18550878236031587,0.1855023199906942,0.1855023199906942,0.18549585762107249,0.18545708340334233,0.18542477155523387,0.18534722311977356,0.1849530185728503,0.184054749195435,0.18261364076979747,0.1800480800299854,0.17562781920874745,0.16754985718163137,0.15129699758307377,0.12507270165824405,0.08867017357924804,0.04373731759961743,0.007231391606674335,0.15655974732815028,0.9911965752951737,0.9910239591244908,0.9909894358903542,0.9909894358903542,0.9909549126562176,0.9907477732513982,0.9905751570807153,0.9901608782710765,0.9880549609887455,0.9832562314437616,0.9755575502313056,0.9618518262790858,0.9382379341296693,0.8950838914589518,0.8082579576054685,0.6681626734792515,0.47369329558793066,0.23365324863633224,0.03863149899882621,0.8363725892789005,0.3725848795406836,0.3726402059227284,0.3726531209025964,0.3726531209025964,0.3726658005802974,0.3726752400188515,0.3726696653074907,0.37278709736194465,0.37218896462376155,0.3710972387384335,0.36990269539982423,0.3672457873756211,0.361032640629079,0.35149991969994615,0.3350163167979162,0.3067628113107735,0.25708995224463327,0.16585021687288942,0.04105272227434009,0.33052991560549505,0.9869896489374383,0.9871533463940008,0.9871873162652297,0.9871873162652297,0.9872208016683592,0.9872299563986443,0.9873192712412119,0.9875163881259511,0.9859800176735319,0.9826780345338526,0.9770705435679409,0.9679486925765818,0.9499825611198907,0.9166778552186383,0.8596541491635423,0.7759917665717911,0.6413621583512935,0.4049123798217938,0.11797350027491388,0.8672650370615704,0.8267148994306744,0.8268468120880481,0.8268720787490215,0.8268720787490215,0.8268922874793015,0.8270101754353691,0.8270957734090191,0.8272817831249745,0.8281222048477057,0.8298277915513774,0.8322166943194236,0.8358675567991131,0.8410964117048803,0.848922732580829,0.8620140234683682,0.8798449894798702,0.9017645643875563,0.928837070546166,0.9619236311523067,0.850843345226475,0.26192008334842415,0.2619184770245651,0.26191845659972146,0.26191845659972146,0.2619183757960537,0.26189095634871556,0.2618549417551899,0.2618418822084674,0.26124481817852435,0.2600421526042555,0.2583609203564941,0.2550854096912408,0.24873590882793037,0.23842520771870043,0.21939563337801393,0.1886122709106479,0.1414789898467113,0.07563791443609376,0.014648103288754011,0.22404468204832761,28711.0,28706.0,28705.0,28705.0,28704.0,28698.0,28693.0,28681.0,28620.0,28481.0,28258.0,27861.0,27177.0,25927.0,23412.0,19354.0,13721.0,6768.0,1119.0,24226.36842105263,126031.0,126036.0,126037.0,126037.0,126038.0,126044.0,126049.0,126061.0,126122.0,126261.0,126484.0,126881.0,127565.0,128815.0,131330.0,135388.0,141021.0,147974.0,153623.0,130515.63157894737,255.0,260.0,261.0,261.0,262.0,268.0,273.0,285.0,346.0,485.0,708.0,1105.0,1789.0,3039.0,5554.0,9612.0,15245.0,22198.0,27847.0,4739.631578947368,0.18003515529074202,0.8296328684513048,0.18108852153907795,0.184138760000517,0.9837050334875371,0.044444444444444446,0.35185185185185186,0.6037037037037037,0.14866396294252032,0.31020968058005094,0.16966211358734723,0.18107422556510577,23639.558953651478,28494,126248,472,163,12,95,163,1436.0,2782,0.27408713828466913,0.16269661759574,0.8691569426223849,25176,129566,3790,28966,154742,334,270
MOT20-03,0.04054731304542599,0.8063696251004036,0.03269612161926886,0.04054731304542599,0.04054731304542599,0.04054731304542599,0.04054731304542599,0.04054731304542599,0.04054731304542599,0.04054731304542599,0.04054731304542599,0.04054731304542599,0.04054731304542599,0.04032739377921458,0.0401593777500853,0.03952348288564047,0.037329920759402176,0.03272738695626804,0.0241859458995752,0.014169906354359784,0.005538230657400665,0.000860334812431846,0.03369974264782305,0.012982085869229077,0.012982085869229077,0.012982085869229077,0.012982085869229077,0.012982085869229077,0.012982085869229077,0.012982085869229077,0.012982085869229077,0.012982085869229077,0.012982085869229077,0.01286906515183393,0.01278512322933534,0.01247207803174421,0.011688700392276733,0.010250833834110731,0.007441627455705354,0.0040067368793586695,0.0013141391285713384,0.00011961082415005492,0.010672040716809323,0.12664256050722028,0.12664256050722028,0.12664256050722028,0.12664256050722028,0.12664256050722028,0.12664256050722028,0.12664256050722028,0.12664256050722028,0.12664256050722028,0.12664256050722028,0.12637271393346516,0.12614470680842158,0.1252482301213646,0.11921966832377795,0.10448729091882904,0.07860645840429714,0.05011216162601231,0.023339993572763906,0.006188202403434403,0.10663921216760888,0.012982292815741987,0.012982292815741987,0.012982292815741987,0.012982292815741987,0.012982292815741987,0.012982292815741987,0.012982292815741987,0.012982292815741987,0.012982292815741987,0.012982292815741987,0.012870706310695089,0.012787813478374535,0.012478559450101703,0.011703830286490382,0.010278711207748568,0.007482672209859146,0.004042619668556198,0.0013294735029873302,0.00012115106262234663,0.010679919228150273,0.9987736080451313,0.9987736080451313,0.9987736080451313,0.9987736080451313,0.9987736080451313,0.9987736080451313,0.9987736080451313,0.9987736080451313,0.9987736080451313,0.9987736080451313,0.9901888643610498,0.9838116261957321,0.9600196222712779,0.9004169732646554,0.7907775324993868,0.5756683836154035,0.31101299975472163,0.10228108903605593,0.009320578857002697,0.8216438815950841,0.12664265698375157,0.12664265698375157,0.12664265698375157,0.12664265698375157,0.12664265698375157,0.12664265698375157,0.12664265698375157,0.12664265698375157,0.12664265698375157,0.12664265698375157,0.1263966563789828,0.12623369775045756,0.12557327312654482,0.12038146794874409,0.10739076226391592,0.08279402308880897,0.05378294932019321,0.026058130204745036,0.0074934125168048885,0.10750162854930068,0.9996520956123117,0.9996520956123117,0.9996520956123117,0.9996520956123117,0.9996520956123117,0.9996520956123117,0.9996520956123117,0.9996520956123117,0.9996520956123117,0.9996520956123117,0.9950177113584712,0.9919456896925088,0.9795519137727142,0.9448525106784631,0.862059021453466,0.694511634516782,0.509802209822918,0.2772863777949249,0.06641646341404424,0.8588402362435479,0.8063696251004036,0.8063696251004036,0.8063696251004036,0.8063696251004036,0.8063696251004036,0.8063696251004036,0.8063696251004036,0.8063696251004036,0.8063696251004036,0.8063696251004036,0.8087498568699802,0.8102520956614642,0.8147367642640326,0.8237885059561206,0.8371662600981243,0.8596359741084717,0.8889412765735207,0.9226648785359562,0.9614028472061124,0.831107090014622,0.04054763622506318,0.04054763622506318,0.04054763622506318,0.04054763622506318,0.04054763622506318,0.04054763622506318,0.04054763622506318,0.04054763622506318,0.04054763622506318,0.04054763622506318,0.04032996512176914,0.04016360270133068,0.03953375122081722,0.03735407293553369,0.03277185817488311,0.02425255371743939,0.014233215034670997,0.005570449085566101,0.0008658563950784433,0.033713246665143186,4072.0,4072.0,4072.0,4072.0,4072.0,4072.0,4072.0,4072.0,4072.0,4072.0,4037.0,4011.0,3914.0,3671.0,3224.0,2347.0,1268.0,417.0,38.0,3349.842105263158,309586.0,309586.0,309586.0,309586.0,309586.0,309586.0,309586.0,309586.0,309586.0,309586.0,309621.0,309647.0,309744.0,309987.0,310434.0,311311.0,312390.0,313241.0,313620.0,310308.15789473685,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,40.0,66.0,163.0,406.0,853.0,1730.0,2809.0,3660.0,4039.0,727.1578947368421,0.012896211797562951,0.8063696251004036,0.012966351886449573,0.012982292815741987,0.9987736080451313,0.0,0.007122507122507123,0.9928774928774928,0.010382445572594491,0.025631422411758226,0.002079002079002079,0.01296207199344247,3283.537113408843,4072,309586,5,22,0,5,697,605.0,2405,0.024813130438887752,0.012567828654139222,0.9668874172185431,3942,309716,135,4077,313658,154,702
MOT20-05,0.021812706805743057,0.8192775361066239,0.01787066068762536,0.021812706805743057,0.021812706805743057,0.021811775106530096,0.021811775106530096,0.021811775106530096,0.021811775106530096,0.021811775106530096,0.021811775106530096,0.021811775106530096,0.021811775106530096,0.021775455069329756,0.021688426839494374,0.021494083585644103,0.021073148232285045,0.0202222915886155,0.016838389938486617,0.011319414745690625,0.004260385666143083,0.0007408623311886711,0.018817477497926564,0.005755449110690283,0.005755449110690283,0.00575389304473617,0.00575389304473617,0.00575389304473617,0.00575389304473617,0.00575389304473617,0.00575389304473617,0.00575389304473617,0.00575389304473617,0.005744556750124932,0.005677651710876029,0.005531425177265471,0.005271744593330292,0.004909659786547285,0.003809467925268338,0.002195362604834731,0.0006449676361705239,7.38443361394181e-05,0.004810564373675102,0.0826684710511227,0.0826684710511227,0.08268376377504605,0.08268376377504605,0.08268376377504605,0.08268376377504605,0.08268376377504605,0.08268376377504605,0.08268376377504605,0.08268376377504605,0.08254256404832047,0.08284901623518603,0.08352198834497272,0.08423730864763376,0.0832931597858386,0.07442807795804068,0.058363547735934974,0.028142320647354935,0.007432892249691737,0.07429568041871515,0.005755449110690283,0.005755449110690283,0.00575390194695085,0.00575390194695085,0.00575390194695085,0.00575390194695085,0.00575390194695085,0.00575390194695085,0.00575390194695085,0.00575390194695085,0.005744618964514252,0.005678090923718639,0.005532657532211949,0.005274281187726659,0.0049137920364388,0.0038168529451808944,0.0022031611649524093,0.0006482616068223732,7.426385949277784e-05,0.004812004948318216,1.0,1.0,0.999731182795699,0.999731182795699,0.999731182795699,0.999731182795699,0.999731182795699,0.999731182795699,0.999731182795699,0.999731182795699,0.9981182795698925,0.9865591397849462,0.9612903225806452,0.9163978494623656,0.853763440860215,0.6631720430107527,0.3827956989247312,0.11263440860215054,0.012903225806451613,0.8360780984719866,0.0826751683784614,0.0826751683784614,0.08269050425981053,0.08269050425981053,0.08269050425981053,0.08269050425981053,0.08269050425981053,0.08269050425981053,0.08269050425981053,0.08269050425981053,0.08256227841695275,0.08287626285131239,0.08361429197886067,0.08449912434128182,0.08381437398511368,0.07625303789899704,0.06253882439678334,0.03235787247571298,0.008028773457796456,0.07491680055990621,0.997584541062802,0.997584541062802,0.9973318076777692,0.9973318076777692,0.9973318076777692,0.9973318076777692,0.9973318076777692,0.9973318076777692,0.9973318076777692,0.9973318076777692,0.9966585771886478,0.9894742067456902,0.9816141347429206,0.9676041467237654,0.9321047700188382,0.8104163901428874,0.5875209246664688,0.35073508491488176,0.1815217424867369,0.8827091326936101,0.8192775361066239,0.8192775361066239,0.8194579827746913,0.8194579827746913,0.8194579827746913,0.8194579827746913,0.8194579827746913,0.8194579827746913,0.8194579827746913,0.8194579827746913,0.8199258383783973,0.8227072009630806,0.82784421868907,0.8354044693879864,0.8430662710961675,0.8617622365579077,0.8874842518872701,0.92293014464693,0.9596660436054248,0.8407899794538429,0.021812706805743057,0.021812706805743057,0.02181179197971734,0.02181179197971734,0.02181179197971734,0.02181179197971734,0.02181179197971734,0.02181179197971734,0.02181179197971734,0.02181179197971734,0.02177557298469122,0.02168926571196056,0.021496477802703678,0.02107821748405066,0.020230799916105102,0.016854703455068582,0.011339501833002103,0.004271251105070359,0.0007429638387270706,0.018820973872663377,3720.0,3720.0,3719.0,3719.0,3719.0,3719.0,3719.0,3719.0,3719.0,3719.0,3713.0,3670.0,3576.0,3409.0,3176.0,2467.0,1424.0,419.0,48.0,3110.2105263157896,642624.0,642624.0,642625.0,642625.0,642625.0,642625.0,642625.0,642625.0,642625.0,642625.0,642631.0,642674.0,642768.0,642935.0,643168.0,643877.0,644920.0,645925.0,646296.0,643233.7894736842,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,50.0,144.0,311.0,544.0,1253.0,2296.0,3301.0,3672.0,609.7894736842105,0.005654883467627146,0.8195640895696935,0.005755449110690283,0.005755449110690283,1.0,0.0,0.003421727972626176,0.9965782720273738,0.004616393767404447,0.011445026951192499,0.0,0.005752644236882151,3048.77841319926,3720,642624,0,65,0,4,1165,542.0,3315,0.008931428290137586,0.004491416335573627,0.7803763440860215,2903,643441,817,3720,646344,192,1169
COMBINED,0.11006544368229651,0.8242317706132294,0.09071943552958993,0.11006544368229651,0.11006468001901631,0.11006447315596556,0.11005901927423101,0.11005894456576612,0.1100497565553299,0.11003710862352145,0.1100315908404024,0.10977168076074967,0.10930083147575255,0.10856836189423313,0.10739900942503196,0.10488098037128182,0.10036258487499808,0.092110597066287,0.07849417807575712,0.05753728386877586,0.029938127512380425,0.005577300802523305,0.09391431330759475,0.03551033103911335,0.03550576886136581,0.03550394400152262,0.035503031574012966,0.03550211914811127,0.035496644626467976,0.035491170162710084,0.035479309023142704,0.03541727056704814,0.0352813593485163,0.035022405884715384,0.0345786568043222,0.033720486327963504,0.03205916344947992,0.028877680470181587,0.02334254925438119,0.0157420084220134,0.007205337108985973,0.0011125545735278458,0.0298079889814517,0.34115147728803785,0.34119057764920196,0.3412068318545324,0.3411817860780051,0.34119009145330964,0.3411857386897037,0.34115993411078016,0.34123976244781196,0.34022446405711926,0.33861143623405365,0.3365585232264509,0.33357418394679605,0.326211785223251,0.3141893723666267,0.2938034479835952,0.26395300378908876,0.21029966102461764,0.12439271964524187,0.02795933339538651,0.29680442791913736,0.03551868741263549,0.0355142806275967,0.03551251791358118,0.035511636556573425,0.03551075519956567,0.03550546705751912,0.03550017891547257,0.03548872127437173,0.0354287889978442,0.0352974668036883,0.035047161413485114,0.03461794055070711,0.0337868208923916,0.032173937568195,0.02907067954388012,0.023625655949953025,0.01605215518229107,0.0074095683642190205,0.001151052252131562,0.029880182761900104,0.9934182956590332,0.9932950427687529,0.9932457416126408,0.9932210910345848,0.9931964404565287,0.9930485369881924,0.992900633519856,0.9925801760051273,0.9909039366973156,0.9872310005669633,0.9802302363990436,0.9682254048857446,0.9449799097788844,0.8998693519363029,0.8130746666009318,0.6607833953706215,0.44896097813493724,0.20723740971725788,0.03219365494120837,0.8357155738459962,0.343306601201659,0.34334238250780824,0.34335874088347057,0.3433406987470882,0.3433490044492692,0.3433513624542547,0.34334816663549195,0.34342760635574043,0.34273562861115897,0.34160551303205483,0.3402873762122813,0.338423873075384,0.3336275236811705,0.3252214336510663,0.3096375447119933,0.286266098407942,0.24293212751561474,0.16140454252318653,0.0394019702328031,0.30570358920470725,0.9898738723411914,0.9899908476558732,0.9899916029608279,0.9899668954346834,0.9899908199982485,0.9899977541563645,0.9900487958709766,0.9901781414070678,0.9889165369721481,0.9863368697874824,0.9813519718572439,0.9735291866136973,0.9573174356302684,0.9251319304015637,0.866958607818306,0.769669569764815,0.6211738673954053,0.3894701134759353,0.11483388643731068,0.8681436161041794,0.8242317706132294,0.8243254365543755,0.8243601544256359,0.8243767868254664,0.8243911219400586,0.8244747297734951,0.824548379578086,0.8246909571864722,0.8253543968592548,0.8266438535889354,0.8287790846580666,0.8319030651731063,0.8369216872846332,0.8448830361209183,0.8574174609277108,0.8759387922267898,0.899318554485065,0.9280379255358582,0.9617113105153516,0.8480162370669742,0.11007839334834349,0.11007787208211095,0.11007776218869261,0.11007235614324198,0.11007232992044777,0.11006343173617023,0.1100510731420804,0.11004618492816196,0.10978952932308393,0.1093257788896138,0.10860672579818252,0.10745999846045422,0.10498409003427757,0.10054207701810332,0.0924178872579229,0.078968746061196,0.05810131490379861,0.03035945256789967,0.00567297573349797,0.0940404199756463,40300.0,40295.0,40293.0,40292.0,40291.0,40285.0,40279.0,40266.0,40198.0,40049.0,39765.0,39278.0,38335.0,36505.0,32984.0,26806.0,18213.0,8407.0,1306.0,33902.47368421053,1094314.0,1094319.0,1094321.0,1094322.0,1094323.0,1094329.0,1094335.0,1094348.0,1094416.0,1094565.0,1094849.0,1095336.0,1096279.0,1098109.0,1101630.0,1107808.0,1116401.0,1126207.0,1133308.0,1100711.5263157894,267.0,272.0,274.0,275.0,276.0,282.0,288.0,301.0,369.0,518.0,802.0,1289.0,2232.0,4062.0,7583.0,13761.0,22354.0,32160.0,39261.0,6664.526315789473,0.034628516834800206,0.8265674467932477,0.034870890011933574,0.03531244987282019,0.9876500603939162,0.007674943566591422,0.05417607223476298,0.9381489841986456,0.028504188493371545,0.06818694311769846,0.05609674168626134,0.03486874008896961,33117.25132321826,40066,1094548,501,275,17,120,2078,2767.0,8931,0.06052684650279404,0.03134546198090275,0.8766978085636108,35565,1099049,5002,40567,1134614,737,2215
