seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT20-01,0.250686008061936,0.8142143322349638,0.204112140654798,0.250686008061936,0.250686008061936,0.250686008061936,0.250686008061936,0.250686008061936,0.250686008061936,0.250686008061936,0.2506641150877958,0.2505277497501061,0.2500405728673698,0.2496925140934261,0.2487004904296298,0.24652864844996242,0.238634913908244,0.22025279543186577,0.17682856783671186,0.10028903655891201,0.023002861403331794,0.002130224202834921,0.21116287086598648,0.1439859084046301,0.1439859084046301,0.1439859084046301,0.1439859084046301,0.1439859084046301,0.1439859084046301,0.1439859084046301,0.14392833777867245,0.14375566066217169,0.14341046277665995,0.1430079951727259,0.14220390935128888,0.13928428227746592,0.13145843703334992,0.11590574374079529,0.08739954075774971,0.04645060307522328,0.010221767921425715,0.0007924976885484084,0.11872213668781512,0.4364557291358397,0.4364557291358397,0.4364557291358397,0.4364557291358397,0.4364557291358397,0.4364557291358397,0.4364557291358397,0.43655404878898263,0.43660300474948704,0.4359534644080212,0.43596409780441653,0.43495241602074697,0.4363476877132018,0.43319107864904977,0.41854089650672605,0.357763234590109,0.21652874641103775,0.05176517768827306,0.005726016895589329,0.3765831565356063,0.1439859084046301,0.1439859084046301,0.1439859084046301,0.1439859084046301,0.1439859084046301,0.1439859084046301,0.1439859084046301,0.14393558127830902,0.14378459989934575,0.14348263714141923,0.1431303472571716,0.14242576748867639,0.13985908404630096,0.13291394061399095,0.11882234524408657,0.09194765978862607,0.05078007045797685,0.011575239053850024,0.0009058882737795671,0.11955076417768126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999650471862985,0.9986018874519399,0.9965047186298497,0.9940580216707445,0.9891646277525341,0.9713386927647676,0.9231038098566935,0.8252359314924852,0.6385879063264592,0.352673890248165,0.08039147151345684,0.006291506466270535,0.8302948913703342,0.4502928654761884,0.4502928654761884,0.4502928654761884,0.4502928654761884,0.4502928654761884,0.4502928654761884,0.4502928654761884,0.45039791061788703,0.4505177804093866,0.4501460336004022,0.45032248218424775,0.449579779546535,0.4520383555161688,0.45222561832910463,0.4462857575453765,0.4058602320025519,0.28245558236166246,0.08352700526789264,0.008632756582020442,0.3965283869629766,0.9460916460857131,0.9460916460857131,0.9460916460857131,0.9460916460857131,0.9460916460857131,0.9460916460857131,0.9460916460857131,0.9457356341737552,0.9447405549962138,0.9426031533846045,0.9402881206532041,0.9366336941952691,0.9245200032931071,0.8949256368075071,0.8291192730068004,0.6960720001830195,0.44335312200757016,0.1286661666902113,0.031140847907615708,0.8042336699946774,0.8142143322349638,0.8142143322349638,0.8142143322349638,0.8142143322349638,0.8142143322349638,0.8142143322349638,0.8142143322349638,0.8143675436269864,0.8147630524543549,0.8154725179082324,0.8161823614179282,0.8173756096888579,0.8207773173391611,0.8282531676775364,0.8401924908111732,0.8583107612507275,0.8839051119162966,0.9213622264399968,0.9596561029781425,0.8363220310081126,0.250686008061936,0.250686008061936,0.250686008061936,0.250686008061936,0.250686008061936,0.250686008061936,0.250686008061936,0.250670422610729,0.2505529651645678,0.25010348407049576,0.2497993048637359,0.24889441872570978,0.24703681492702614,0.23995235631697906,0.22300675080250756,0.18137114483558228,0.10485869062185497,0.024478445751452117,0.002277527510520576,0.21198970434919548,2861.0,2861.0,2861.0,2861.0,2861.0,2861.0,2861.0,2860.0,2857.0,2851.0,2844.0,2830.0,2779.0,2641.0,2361.0,1827.0,1009.0,230.0,18.0,2375.4736842105262,17009.0,17009.0,17009.0,17009.0,17009.0,17009.0,17009.0,17010.0,17013.0,17019.0,17026.0,17040.0,17091.0,17229.0,17509.0,18043.0,18861.0,19640.0,19852.0,17494.526315789473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,10.0,17.0,31.0,82.0,220.0,500.0,1034.0,1852.0,2631.0,2843.0,485.5263157894737,0.14192249622546552,0.8158046104095394,0.14308002013085053,0.14353296426774032,0.9968542467668647,0.02702702702702703,0.21621621621621623,0.7567567567567568,0.11548438595309544,0.25093484668514365,0.02097902097902098,0.14301148828203233,2326.6747488880064,2852,17018,9,23,2,16,56,263.0,429,0.2141568782719634,0.12249622546552592,0.8507514854945823,2434,17436,427,2861,19870,52,74
MOT20-02,0.22904782686102956,0.8097723996069579,0.18547660838201493,0.22904782686102956,0.22903120129846788,0.22899445004486155,0.22898237642550875,0.22894971053509358,0.22886220114474304,0.22865578402059564,0.2281815717816999,0.2274236272510521,0.22697788301920516,0.22597117847682943,0.2229500095149132,0.21702941241831855,0.20414237119060702,0.1811404580152969,0.14508838604951554,0.09389534518358109,0.038438280481745316,0.006253536247936237,0.19052713736636845,0.1578369865489376,0.1578070945422626,0.1577772040789983,0.15776973170432615,0.15773237127773546,0.1576427160908117,0.15753813592132773,0.15719464836341587,0.15665742472112967,0.156031293902329,0.15492232315883675,0.15231090412718806,0.14767376394717985,0.13747820297390698,0.11922484199230082,0.09049240121580547,0.05511866600005882,0.020647826260120506,0.0025540856987967295,0.12917950644870885,0.3323866486357047,0.3324013493840175,0.3323576333948274,0.3323383271750575,0.3323222083677768,0.33225707099999463,0.33187816562830785,0.33122520545606976,0.3301567501450787,0.3301835041637822,0.3296037166306493,0.3263502835042725,0.318958253623765,0.3031324734673264,0.27520997286882903,0.23262328641552876,0.15995190898006195,0.07155723744377823,0.015311434390269765,0.28158975950921566,0.15803078672887774,0.15800493725039097,0.1579790877719042,0.15797262540228252,0.15794031355417404,0.15786276511871372,0.15777229194401002,0.15747502294141216,0.15700973232865026,0.15646689328042807,0.15550400020679583,0.15322924609995994,0.1491644156079151,0.14011063576792337,0.1234894211009293,0.09619883418852025,0.060558865724884,0.02345193935712347,0.0029533029171136473,0.13058816406800047,0.9922902126278201,0.9921279013147216,0.9919655900016231,0.9919250121733485,0.9917221230319754,0.9912351890926797,0.990667099496835,0.988800519396202,0.9858789157604285,0.9824703781853595,0.9764242817724396,0.9621408862197696,0.9366174322350268,0.8797678948222691,0.7754017204999188,0.6040415516961533,0.3802548287615647,0.14725693880863497,0.01854406752150625,0.8199753970220146,0.33846087232484107,0.338482638762495,0.33845850560282437,0.3384420142259185,0.33842908603733474,0.33838575097567253,0.33814374558875654,0.3377248548064838,0.33698516687675784,0.33713330333782776,0.3368908073412306,0.3349289793001856,0.3301031533643674,0.3188407062073975,0.2969781409242568,0.2619445111104314,0.19560619422396197,0.0981449052074434,0.02268858983806261,0.29351431189769733,0.9718551970382674,0.9719313859049775,0.9719103531916774,0.9718828564666449,0.9717783477630839,0.9714991800749787,0.9711001652852402,0.9699931485183684,0.9679910603910287,0.9659958923039919,0.9626121387191464,0.9526559617225423,0.934253564526807,0.8957690369329143,0.8267947904640169,0.7117768868843535,0.5276611448686953,0.2642075241047722,0.06962090104784731,0.8342783966425976,0.8097723996069579,0.8098939994680727,0.810007500311918,0.8100327532404592,0.810150361772773,0.8104124909662435,0.8106868024587777,0.8115028065750121,0.8126435191653554,0.8138063290290323,0.8155844603829411,0.8191121798139027,0.8242977635440691,0.8337758065795866,0.8481163340115591,0.8685723825011574,0.8937827945462605,0.9251972485936392,0.9614207910454393,0.8367773012427977,0.22918840193621376,0.22917472450374402,0.22914090804075948,0.22912956610975932,0.2291005757099319,0.22902187659327206,0.22882565161570478,0.22838497504864136,0.2276792106600334,0.22729449423369738,0.22639500087036632,0.22362112580404353,0.21812203351589696,0.2060875628935678,0.1843516211775046,0.1495930779089598,0.09842004967669159,0.04096530230688859,0.006724530009597542,0.19164319413764602,24454.0,24450.0,24446.0,24445.0,24440.0,24428.0,24414.0,24368.0,24296.0,24212.0,24063.0,23711.0,23082.0,21681.0,19109.0,14886.0,9371.0,3629.0,457.0,20207.473684210527,130288.0,130292.0,130296.0,130297.0,130302.0,130314.0,130328.0,130374.0,130446.0,130530.0,130679.0,131031.0,131660.0,133061.0,135633.0,139856.0,145371.0,151113.0,154285.0,134534.52631578947,190.0,194.0,198.0,199.0,204.0,216.0,230.0,276.0,348.0,432.0,581.0,933.0,1562.0,2963.0,5535.0,9758.0,15273.0,21015.0,24187.0,4436.526315789473,0.15282857918341497,0.813668909801527,0.15402411756342815,0.15664137726021377,0.9835659795487746,0.03333333333333333,0.3074074074074074,0.6592592592592592,0.12364142058832904,0.2702440547199893,0.1455787203450755,0.15400946626172338,19722.520704679213,24239,130503,405,185,9,83,178,1742.0,2782,0.23544758230854135,0.13647232167091028,0.856922577503652,21118,133624,3526,24644,154742,341,270
MOT20-03,0.07841921539911771,0.7737083762826447,0.06067360381581033,0.07841921539911771,0.07841921539911771,0.07841921539911771,0.07841872841967566,0.07841872841967566,0.07841872841967566,0.07841872841967566,0.07841178143533518,0.07838589879832772,0.07817406181823874,0.07729297678271504,0.07608032782938756,0.0723927224458928,0.06429474122717564,0.051176751561879896,0.03454478706784937,0.017530905560874055,0.0058148814128050124,0.0013228897983172643,0.06233448871657127,0.03748963846202895,0.03748963846202895,0.03748963846202895,0.03748633078387176,0.03748633078387176,0.03748633078387176,0.03748633078387176,0.03747971549082933,0.037466485157826614,0.037367268415062944,0.03688468438040676,0.03593735077834018,0.033880319613667775,0.03002861375232645,0.02341386402661853,0.015370070485158802,0.007404953765474713,0.0020785603429162663,0.0002797177002901687,0.029473991706868017,0.1640339463407139,0.1640339463407139,0.1640339463407139,0.1640463827311855,0.1640463827311855,0.1640463827311855,0.1640463827311855,0.1640462684239743,0.16399587803709798,0.1635437697313289,0.16196978123274494,0.161064078382642,0.15468290508729143,0.13766249030224428,0.11185936236107138,0.07764065328882737,0.041503655460647236,0.01626743527567982,0.006256441464649783,0.1320410573155307,0.037489877509899315,0.037489877509899315,0.037489877509899315,0.03748668932404083,0.03748668932404083,0.03748668932404083,0.03748668932404083,0.03748031295232387,0.03746756020888994,0.03737191463313545,0.03690643949779696,0.035991430156412395,0.03399881399486064,0.030246319239426382,0.023736043716404493,0.015705003538886302,0.007626140573490872,0.002152025454475894,0.0002901249131219354,0.02954676414237297,0.9998299464331264,0.9998299464331264,0.9998299464331264,0.9997449196496897,0.9997449196496897,0.9997449196496897,0.9997449196496897,0.9995748660828161,0.999234758949069,0.9966839554459654,0.9842700450641952,0.9598673582178386,0.9067256185698495,0.8066490944647564,0.6330244026868463,0.418841935209591,0.20338406598078396,0.05739307881982825,0.007737437292747215,0.7879924281411802,0.16406906136397337,0.16406906136397337,0.16406906136397337,0.16408150626326576,0.16408150626326576,0.16408150626326576,0.16408150626326576,0.16408233605676079,0.16403871621099306,0.1636566126090147,0.16226068910324074,0.16154834145313474,0.1563727529579598,0.1418291403253519,0.11849886023843965,0.08510187789103299,0.04772926561698254,0.01932819070101843,0.007248245201964402,0.13369622302688824,0.9941040345824114,0.9941040345824114,0.9941040345824114,0.9940326594081682,0.9940326594081682,0.9940326594081682,0.9940326594081682,0.9938815331268194,0.99355971134116,0.991264652404011,0.9829008275068204,0.9700561905839837,0.94041380076826,0.8694736212398935,0.7466487506915241,0.5783836977920219,0.3530499691603456,0.17656622662559762,0.08403396373100612,0.8230881940184921,0.7737083762826447,0.7737083762826447,0.7737083762826447,0.77375755821692,0.77375755821692,0.77375755821692,0.77375755821692,0.7738232303151031,0.7739360444354925,0.7746720293143903,0.7777623726140708,0.7828728518347624,0.7919598065951683,0.8061999667601017,0.8280185428292318,0.8547806857349213,0.8871902637378014,0.9249615196560518,0.9604483865112724,0.8080411085291569,0.07841946541375273,0.07841946541375273,0.07841946541375273,0.07841910343900042,0.07841910343900042,0.07841910343900042,0.07841910343900042,0.0784124064111763,0.07838702337992393,0.07817892171922292,0.0773157676773484,0.07613755005131037,0.07251920654728307,0.0645273866585043,0.05152765000552152,0.0349191456748655,0.0177908041093321,0.005916750357443016,0.001347274855545071,0.06241656302340719,11759.0,11759.0,11759.0,11758.0,11758.0,11758.0,11758.0,11756.0,11752.0,11722.0,11576.0,11289.0,10664.0,9487.0,7445.0,4926.0,2392.0,675.0,91.0,9267.578947368422,301899.0,301899.0,301899.0,301900.0,301900.0,301900.0,301900.0,301902.0,301906.0,301936.0,302082.0,302369.0,302994.0,304171.0,306213.0,308732.0,311266.0,312983.0,313567.0,304390.4210526316,2.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,9.0,39.0,185.0,472.0,1097.0,2274.0,4316.0,6835.0,9369.0,11086.0,11670.0,2493.4210526315787,0.03693832135638179,0.7747755875117911,0.037273080871522486,0.03738466737656938,0.9970240625797127,0.0,0.04415954415954416,0.9558404558404558,0.02851838161042684,0.07206708889155213,0.014553014553014554,0.03726663694438188,9085.018539163262,11726,301932,35,105,0,31,671,1676.0,2405,0.0670520160162744,0.034783107716047416,0.927642207295298,10910,302748,851,11761,313658,355,702
MOT20-05,0.011129964090303876,0.8340290159470354,0.009282712997761983,0.011129964090303876,0.011129964090303876,0.011129964090303876,0.011112565799972076,0.011112565799972076,0.011112565799972076,0.011112565799972076,0.011112565799972076,0.011112565799972076,0.011111624895760416,0.011111624895760416,0.01109378122186482,0.011052169318702398,0.010998614526951493,0.010628057589900972,0.009192385791729972,0.006401160611841513,0.0028837588614052424,0.000454917238940669,0.009736493790715894,0.0015842956691792605,0.0015842956691792605,0.0015842956691792605,0.00158274605667252,0.00158274605667252,0.00158274605667252,0.00158274605667252,0.00158274605667252,0.00158274605667252,0.001578097247922172,0.001578097247922172,0.0015424578144749687,0.0015192160721302752,0.0014820315279775993,0.0013952783286359995,0.0011691710020847123,0.0007636726781413382,0.00031985858233113553,3.2440097814618744e-05,0.001348930734053047,0.07819001406197584,0.07819001406197584,0.07819001406197584,0.07802206686164542,0.07802206686164542,0.07802206686164542,0.07802206686164542,0.07802206686164542,0.07802206686164542,0.0782386560692943,0.0782386560692943,0.07978952853274142,0.08040360347029822,0.08162412150404459,0.08095560994248019,0.0722733940487147,0.05365499951931985,0.025999193487714525,0.00637944113078914,0.0705399814279206,0.0015842956691792605,0.0015842956691792605,0.0015842956691792605,0.0015827485054398277,0.0015827485054398277,0.0015827485054398277,0.0015827485054398277,0.0015827485054398277,0.0015827485054398277,0.0015781070142215292,0.0015781070142215292,0.001542522248214573,0.00151931479212308,0.001482182862376691,0.0013955416929684503,0.001169655787011251,0.0007642988872798386,0.0003202628940626044,3.249043852809031e-05,0.0013490453511149677,1.0,1.0,1.0,0.9990234375,0.9990234375,0.9990234375,0.9990234375,0.9990234375,0.9990234375,0.99609375,0.99609375,0.9736328125,0.958984375,0.935546875,0.880859375,0.73828125,0.482421875,0.2021484375,0.0205078125,0.8515111019736842,0.078191132367949,0.078191132367949,0.078191132367949,0.0780231862607818,0.0780231862607818,0.0780231862607818,0.0780231862607818,0.0780231862607818,0.0780231862607818,0.0782397848425428,0.0782397848425428,0.07979284458558604,0.08041162879608744,0.08165172106391197,0.08133639267208352,0.07409596276628094,0.05709160786375378,0.028745875105619115,0.006961738315743691,0.0710147292380363,0.998291015625,0.998291015625,0.998291015625,0.9982893450635386,0.9982893450635386,0.9982893450635386,0.9982893450635386,0.9982893450635386,0.9982893450635386,0.9977941176470588,0.9977941176470588,0.9942625495534222,0.9861676849966057,0.9806778874958599,0.9462876712071382,0.8435543614853234,0.6532859702602956,0.3858820661641881,0.09896014863923286,0.8878566153869694,0.8340290159470354,0.8340290159470354,0.8340290159470354,0.8346805507883789,0.8346805507883789,0.8346805507883789,0.8346805507883789,0.8346805507883789,0.8346805507883789,0.8356977442301846,0.8356977442301846,0.8418034187078218,0.8451421274892177,0.8491770676040378,0.8566022360342138,0.8715499423638308,0.8954683907501256,0.9242828395178654,0.9608701599859393,0.8540243170255157,0.011129964090303876,0.011129964090303876,0.011129964090303876,0.01111257439644818,0.01111257439644818,0.01111257439644818,0.01111257439644818,0.01111257439644818,0.01111257439644818,0.01111165927871347,0.01111165927871347,0.011094012932041548,0.011052528402696946,0.010999176062317014,0.010629060586638045,0.00919429135910015,0.0064037845395997234,0.002885580868676023,0.00045527007358652015,0.009736966422720192,1024.0,1024.0,1024.0,1023.0,1023.0,1023.0,1023.0,1023.0,1023.0,1020.0,1020.0,997.0,982.0,958.0,902.0,756.0,494.0,207.0,21.0,871.9473684210526,645320.0,645320.0,645320.0,645321.0,645321.0,645321.0,645321.0,645321.0,645321.0,645324.0,645324.0,645347.0,645362.0,645386.0,645442.0,645588.0,645850.0,646137.0,646323.0,645472.052631579,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,27.0,42.0,66.0,122.0,268.0,530.0,817.0,1003.0,152.05263157894737,0.0015394279207357074,0.8328790950258522,0.0015750126867426634,0.001579654177960962,0.9970703125,0.0,0.001710863986313088,0.998289136013687,0.001275434684968678,0.0031543109946738177,0.0009049773755656109,0.0015729058708118006,850.3695560213952,1021,645323,3,23,0,2,1167,105.0,3315,0.0029596767217409574,0.001482182862376691,0.935546875,958,645386,66,1024,646344,103,1169
COMBINED,0.10016625453834696,0.8001327740423503,0.0801463031091997,0.10016625453834696,0.10016181065790514,0.10015108375839728,0.10014623469604594,0.1001369697892597,0.10011188996187466,0.10005007046819127,0.0999083853716181,0.09967434975345921,0.099484087747781,0.09899037601629966,0.09780186625826434,0.09517702426300413,0.08934154466696219,0.07903585986798688,0.06285696089134336,0.03983338300435971,0.015686824101376378,0.002577849508330113,0.08322593817477926,0.03533467394426889,0.0353310245768014,0.03532737523506055,0.03532463824563784,0.035320076628757635,0.0353091289122462,0.03529635686893751,0.03525165719884712,0.03517959851133416,0.03506742583686533,0.0347921130948449,0.03417638065025522,0.03297617278751395,0.03049370382682081,0.02603906952048185,0.0194315185391177,0.011420080954651966,0.004051572302320275,0.0004998650279268715,0.02876960171908895,0.28394994005224894,0.2839540725025386,0.2839225816025818,0.28391708512496966,0.28390121640933197,0.2838470055901734,0.2835991441796457,0.2831550701647637,0.28240731614870657,0.2822301175184545,0.28164700767486045,0.2798776482941589,0.27470337464359834,0.2617560545878422,0.23989594329238784,0.2033293241875098,0.1389393304541919,0.06073603826509487,0.013294204867978863,0.24152960397689668,0.03534065329706843,0.0353371278690374,0.03533360244100637,0.035330958369983095,0.035326551584944306,0.03531597530085121,0.03530363630274261,0.03526044980936248,0.03519082260574962,0.03508241569379542,0.0348162458774526,0.034220448540208386,0.03305705728996822,0.03064213908871211,0.026279421900311472,0.01973799018873379,0.011692082064913706,0.004178513573779277,0.0005173565635537725,0.028840181492746014,0.995234549516009,0.9951352692975924,0.995035989079176,0.9949615289153636,0.994837428642343,0.9945395879870935,0.9941921072226358,0.992975924547034,0.9910151402333085,0.9879622735170017,0.9804666170265575,0.9636882601141723,0.9309257880367336,0.8629188384214446,0.7400595681310499,0.5558451228592702,0.32926284437825765,0.11767187887813353,0.014569372052618516,0.8121735836239893,0.28865194952573153,0.2886602538532978,0.28864056692985196,0.2886369894496523,0.288622893594833,0.2885815593498718,0.28841665076691475,0.2881142537185896,0.28757066784020474,0.2875072296382991,0.2872048946657859,0.28632355054523045,0.28320523723457497,0.27413549090619244,0.2577128956350961,0.22844568138428578,0.17039009394815177,0.08318413775141913,0.019301298113254445,0.25122664709743353,0.9772166823901338,0.9772636785424876,0.9772513852888386,0.9772128279766407,0.9771497686767685,0.9769811874131282,0.9767399052338307,0.9760021561294631,0.9746292901363938,0.9725765202925154,0.9678587775195678,0.9576156530348254,0.9366430613917054,0.8908692943732575,0.810582006334413,0.685603012953841,0.4944425361231958,0.2504665922765729,0.07172494184352428,0.8330962777858475,0.8001327740423503,0.8002059659938142,0.8002742096828824,0.8003202392411085,0.800390739464644,0.800547619336628,0.8007113634093241,0.8012281766799295,0.8019670301584348,0.8029621458044308,0.8050634238048395,0.8090316404512645,0.8153883299046849,0.8262559494263567,0.842727395972048,0.8648021282015892,0.8919055722529726,0.924937713726123,0.9611962315052859,0.8289499288978268,0.10017472927395359,0.10017046155906503,0.10015991025540016,0.10015519315081595,0.10014614803632091,0.10012159526617193,0.10006038697650173,0.09992084437098779,0.09969024909766744,0.09950534811803412,0.09902470131162588,0.09786490004595522,0.09529367866412249,0.08955872616330125,0.07939979033948298,0.06335070801415672,0.04030496313997292,0.015930673567312727,0.0026225644216448483,0.08333976693539441,40098.0,40094.0,40090.0,40087.0,40082.0,40070.0,40056.0,40007.0,39928.0,39805.0,39503.0,38827.0,37507.0,34767.0,29817.0,22395.0,13266.0,4741.0,587.0,32722.473684210527,1094516.0,1094520.0,1094524.0,1094527.0,1094532.0,1094544.0,1094558.0,1094607.0,1094686.0,1094809.0,1095111.0,1095787.0,1097107.0,1099847.0,1104797.0,1112219.0,1121348.0,1129873.0,1134027.0,1101891.5263157894,192.0,196.0,200.0,203.0,208.0,220.0,234.0,283.0,362.0,485.0,787.0,1463.0,2783.0,5523.0,10473.0,17895.0,27024.0,35549.0,39703.0,7567.526315789473,0.03441699115293836,0.8028661968159013,0.03471312710754494,0.035111500475051426,0.9887813353189377,0.004966139954853273,0.059593679458239276,0.9354401805869075,0.02749532752879118,0.06781490232393456,0.05061023401634755,0.034710900500718844,31984.583548751878,39838,1094776,452,336,11,132,2072,3786.0,8931,0.060294287873732665,0.03121766521477789,0.879126334077935,35420,1099194,4870,40290,1134614,851,2215
